ubigeo_departamento,departamento,ubigeo_provincia,provincia,ubigeo_distrito,distrito,total_asistentes,pct_total_asistentes,total_ausentes,pct_total_ausentes,electores_habiles,date_upd,hour_upd,pct_avance
020000,ANCASH,020800,HUARI,020805,HUACHIS,2145,59.534,1458,40.466,3603,2021-04-19,11:49,97.708
020000,ANCASH,020800,HUARI,020807,HUANTAR,1496,64.594,820,35.406,2316,2021-04-19,11:49,97.708
020000,ANCASH,020800,HUARI,020801,HUARI,4357,68.766,1979,31.234,6336,2021-04-19,11:49,97.708
020000,ANCASH,020800,HUARI,020808,MASIN,941,60.476,615,39.524,1556,2021-04-19,11:49,97.708
020000,ANCASH,020800,HUARI,020809,PAUCAS,1016,53.785,873,46.215,1889,2021-04-19,11:49,97.708
020000,ANCASH,020800,HUARI,020810,PONTO,1563,48.285,1674,51.715,3237,2021-04-19,11:49,97.708
020000,ANCASH,020800,HUARI,020811,RAHUAPAMPA,396,62.069,242,37.931,638,2021-04-19,11:49,97.708
020000,ANCASH,020800,HUARI,020812,RAPAYAN,827,53.771,711,46.229,1538,2021-04-19,11:49,97.708
020000,ANCASH,020800,HUARI,020813,SAN MARCOS,10400,63.395,6005,36.605,16405,2021-04-19,11:49,97.708
020000,ANCASH,020800,HUARI,020814,SAN PEDRO DE CHANA,1642,53.907,1404,46.093,3046,2021-04-19,11:49,97.708
020000,ANCASH,020800,HUARI,020815,UCO,685,50.294,677,49.706,1362,2021-04-19,11:49,97.708
020000,ANCASH,021900,HUARMEY,021902,COCHAPETI,471,60.077,313,39.923,784,2021-04-19,11:49,97.708
020000,ANCASH,021900,HUARMEY,021905,CULEBRAS,1402,71.312,564,28.688,1966,2021-04-19,11:49,97.708
020000,ANCASH,021900,HUARMEY,021901,HUARMEY,13536,69.845,5844,30.155,19380,2021-04-19,11:49,97.708
020000,ANCASH,021900,HUARMEY,021903,HUAYAN,429,57.276,320,42.724,749,2021-04-19,11:49,97.708
020000,ANCASH,021900,HUARMEY,021904,MALVAS,382,49.418,391,50.582,773,2021-04-19,11:49,97.708
020000,ANCASH,020700,HUAYLAS,020701,CARAZ,13517,73.148,4962,26.852,18479,2021-04-19,11:49,97.708
020000,ANCASH,020700,HUAYLAS,020702,HUALLANCA,428,46.121,500,53.879,928,2021-04-19,11:49,97.708
020000,ANCASH,020700,HUAYLAS,020703,HUATA,769,64.731,419,35.269,1188,2021-04-19,11:49,97.708
020000,ANCASH,020700,HUAYLAS,020704,HUAYLAS,836,58.015,605,41.985,1441,2021-04-19,11:49,97.708
020000,ANCASH,020700,HUAYLAS,020705,MATO,1150,67.767,547,32.233,1697,2021-04-19,11:49,97.708
020000,ANCASH,020700,HUAYLAS,020706,PAMPAROMAS,2951,48.6,3121,51.4,6072,2021-04-19,11:49,97.708
020000,ANCASH,020700,HUAYLAS,020707,PUEBLO LIBRE,4453,76.159,1394,23.841,5847,2021-04-19,11:49,97.708
020000,ANCASH,020700,HUAYLAS,020708,SANTA CRUZ,2771,68.033,1302,31.967,4073,2021-04-19,11:49,97.708
020000,ANCASH,020700,HUAYLAS,020710,SANTO TORIBIO,526,56.62,403,43.38,929,2021-04-19,11:49,97.708
020000,ANCASH,020700,HUAYLAS,020709,YURACMARCA,1101,64.765,599,35.235,1700,2021-04-19,11:49,97.708
020000,ANCASH,020900,MARISCAL LUZURIAGA,020902,CASCA,2135,71.285,860,28.715,2995,2021-04-19,11:49,97.708
020000,ANCASH,020900,MARISCAL LUZURIAGA,020908,ELEAZAR GUZMAN BARRON,642,68.884,290,31.116,932,2021-04-19,11:49,97.708
020000,ANCASH,020900,MARISCAL LUZURIAGA,020904,FIDEL OLIVAS ESCUDERO,757,55.255,613,44.745,1370,2021-04-19,11:49,97.708
020000,ANCASH,020900,MARISCAL LUZURIAGA,020905,LLAMA,574,61.654,357,38.346,931,2021-04-19,11:49,97.708
020000,ANCASH,020900,MARISCAL LUZURIAGA,020906,LLUMPA,3090,69.973,1326,30.027,4416,2021-04-19,11:49,97.708
