ubigeo,departamento,provincia,distrito,ELECTORES_HABIL,TOT_CIUDADANOS_VOTARON,POR_CIUDADANOS_VOTARON,POR_ACTAS_CONTABILIZADAS,POR_ACTAS_PROCESADAS,ACTAS_PROCESADAS,POR_PROCESAR,CONTABILIZA,POR_POR_PROCESAR,N_CANDIDATOS,date_upd,hour_upd,pct_avance
200307,PIURA,HUANCABAMBA,SONDOR,4116,3087,75,100,100,14,0,14,0,0,2021-04-16,17:51,95.5667
200308,PIURA,HUANCABAMBA,SONDORILLO,4087,3049,74.602,100,100,15,0,15,0,0,2021-04-16,17:51,95.5667
200401,PIURA,MORROPON,CHULUCANAS,17435,14030,80.47,100,100,59,0,59,0,0,2021-04-16,17:51,95.5667
200402,PIURA,MORROPON,BUENOS AIRES,7821,6334,80.987,93.103,100,29,0,27,0,0,2021-04-16,17:51,95.5667
200403,PIURA,MORROPON,CHALACO,3638,2982,81.968,100,100,13,0,13,0,0,2021-04-16,17:51,95.5667
200406,PIURA,MORROPON,SALITRAL,2044,1582,77.397,100,100,7,0,7,0,0,2021-04-16,17:51,95.5667
200407,PIURA,MORROPON,SAN JUAN DE BIGOTE,11834,9031,76.314,100,100,40,0,40,0,0,2021-04-16,17:51,95.5667
200410,PIURA,MORROPON,YAMANGO,12413,9583,77.201,97.674,100,43,0,42,0,0,2021-04-16,17:51,95.5667
200501,PIURA,PAITA,PAITA,17588,14161,80.515,100,100,59,0,59,0,0,2021-04-16,17:51,95.5667
200502,PIURA,PAITA,AMOTAPE,3651,2910,79.704,100,100,13,0,13,0,0,2021-04-16,17:51,95.5667
200504,PIURA,PAITA,COLAN,2759,2252,81.624,100,100,10,0,10,0,0,2021-04-16,17:51,95.5667
200506,PIURA,PAITA,TAMARINDO,4323,3738,86.468,100,100,15,0,15,0,0,2021-04-16,17:51,95.5667
200507,PIURA,PAITA,VICHAYAL,4602,3355,72.903,100,100,16,0,16,0,0,2021-04-16,17:51,95.5667
200601,PIURA,SULLANA,SULLANA,10096,8755,86.718,100,100,34,0,34,0,0,2021-04-16,17:51,95.5667
200602,PIURA,SULLANA,BELLAVISTA,4804,4024,83.764,100,100,17,0,17,0,0,2021-04-16,17:51,95.5667
200603,PIURA,SULLANA,IGNACIO ESCUDERO,1766,1500,84.938,100,100,6,0,6,0,0,2021-04-16,17:51,95.5667
200604,PIURA,SULLANA,LANCONES,2529,2205,87.189,100,100,9,0,9,0,0,2021-04-16,17:51,95.5667
200605,PIURA,SULLANA,MARCAVELICA,1841,1471,79.902,100,100,7,0,7,0,0,2021-04-16,17:51,95.5667
200606,PIURA,SULLANA,MIGUEL CHECA,1565,1326,84.728,100,100,6,0,6,0,0,2021-04-16,17:51,95.5667
200607,PIURA,SULLANA,QUERECOTILLO,1887,1448,76.736,100,100,7,0,7,0,0,2021-04-16,17:51,95.5667
200608,PIURA,SULLANA,SALITRAL,4848,4055,83.643,100,100,17,0,17,0,0,2021-04-16,17:51,95.5667
200701,PIURA,TALARA,PARIÑAS,19772,16461,83.254,100,100,66,0,66,0,0,2021-04-16,17:51,95.5667
200702,PIURA,TALARA,EL ALTO,4352,3377,77.597,100,100,16,0,16,0,0,2021-04-16,17:51,95.5667
