ubigeo,departamento,provincia,distrito,cod_partido,partido,total_votos,nlista,pct_validos,pct_emitidos,candidato,date_upd,hour_upd,pct_avance
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000022,VICTORIA NACIONAL,4,6,1.77,1.384,GEORGE PATRICK FORSYTH SOMMER,2021-04-13,11:46,91.0842
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000001,ACCION POPULAR,18,7,7.965,6.228,YONHY LESCANO ANCIETA,2021-04-13,11:46,91.0842
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000003,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,8,8,3.54,2.768,HERNANDO DE SOTO POLAR,2021-04-13,11:46,91.0842
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000018,PODEMOS PERU,0,9,0,0,DANIEL BELIZARIO URRESTI ELERA,2021-04-13,11:46,91.0842
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000008,JUNTOS POR EL PERU,24,10,10.619,8.304,VERONIKA FANNY MENDOZA FRISCH,2021-04-13,11:46,91.0842
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000015,PARTIDO POPULAR CRISTIANO - PPC,0,11,0,0,ALBERTO ISMAEL BEINGOLEA DELGADO,2021-04-13,11:46,91.0842
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000007,FUERZA POPULAR,39,12,17.257,13.495,KEIKO SOFIA FUJIMORI HIGUCHI,2021-04-13,11:46,91.0842
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000021,UNION POR EL PERU,0,14,0,0,JOSE ALEJANDRO VEGA ANTONIO,2021-04-13,11:46,91.0842
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000020,RENOVACION POPULAR,17,15,7.522,5.882,RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,2021-04-13,11:46,91.0842
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000019,RENACIMIENTO UNIDO NACIONAL,1,16,0.442,0.346,CIRO ALFREDO GALVEZ HERRERA,2021-04-13,11:46,91.0842
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000010,PARTIDO DEMOCRATICO SOMOS PERU,2,17,0.885,0.692,DANIEL ENRIQUE SALAVERRY VILLA,2021-04-13,11:46,91.0842
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,79,18,34.956,27.336,JOSE PEDRO CASTILLO TERRONES,2021-04-13,11:46,91.0842
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000004,DEMOCRACIA DIRECTA,0,19,0,0,ANDRES AVELINO ALCANTARA PAREDES,2021-04-13,11:46,91.0842
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000002,ALIANZA PARA EL PROGRESO,14,20,6.195,4.844,CESAR ACUÑA PERALTA,2021-04-13,11:46,91.0842
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,00000012,PARTIDO NACIONALISTA PERUANO,22,2,9.524,7.12,OLLANTA MOISES HUMALA TASSO,2021-04-13,11:46,91.0842
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,00000005,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",5,3,2.165,1.618,MARCO ANTONIO ARANA ZEGARRA,2021-04-13,11:46,91.0842
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,00000011,PARTIDO MORADO,7,4,3.03,2.265,JULIO ARMANDO GUZMAN CACERES,2021-04-13,11:46,91.0842
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,00000017,PERU PATRIA SEGURA,0,5,0,0,RAFAEL GASTON TADEO MILAGROS SANTOS NORMAND,2021-04-13,11:46,91.0842
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,00000022,VICTORIA NACIONAL,19,6,8.225,6.149,GEORGE PATRICK FORSYTH SOMMER,2021-04-13,11:46,91.0842
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,00000001,ACCION POPULAR,30,7,12.987,9.709,YONHY LESCANO ANCIETA,2021-04-13,11:46,91.0842
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,00000003,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,2,8,0.866,0.647,HERNANDO DE SOTO POLAR,2021-04-13,11:46,91.0842
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,00000018,PODEMOS PERU,5,9,2.165,1.618,DANIEL BELIZARIO URRESTI ELERA,2021-04-13,11:46,91.0842
